,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
22,2022-02-15,312.35873045495646,272.5124109319768,342.7175501832598,312.35873045495646,312.35873045495646,-4.373080797679474,-4.373080797679474,-4.373080797679474,-4.373080797679474,-4.373080797679474,-4.373080797679474,0.0,0.0,0.0,307.985649657277
23,2022-02-16,312.0033658951246,272.16739483133273,344.74892014630285,312.0033658951246,312.0033658951246,-3.5406784866268413,-3.5406784866268413,-3.5406784866268413,-3.5406784866268413,-3.5406784866268413,-3.5406784866268413,0.0,0.0,0.0,308.46268740849774
24,2022-02-17,311.6480013352928,272.90712160914967,342.4121436005656,311.6480013352928,311.6480013352928,-4.219611184194899,-4.219611184194899,-4.219611184194899,-4.219611184194899,-4.219611184194899,-4.219611184194899,0.0,0.0,0.0,307.4283901510979
25,2022-02-18,311.2926367753334,269.9565669764444,341.5339146548174,311.2926367753334,311.2926367753334,-5.745592871266161,-5.745592871266161,-5.745592871266161,-5.745592871266161,-5.745592871266161,-5.745592871266161,0.0,0.0,0.0,305.5470439040672
26,2022-02-22,309.8711785354958,265.8967657579377,340.7577621137468,309.8711785354958,309.8711785354958,-4.373080797675195,-4.373080797675195,-4.373080797675195,-4.373080797675195,-4.373080797675195,-4.373080797675195,0.0,0.0,0.0,305.4980977378206
27,2022-02-23,309.5158139755364,267.709305869123,344.91561246096967,309.5158139755364,309.5158139755364,-3.540678486621214,-3.540678486621214,-3.540678486621214,-3.540678486621214,-3.540678486621214,-3.540678486621214,0.0,0.0,0.0,305.97513548891516
28,2022-02-24,309.1604494155769,269.3143671182473,340.9698822179675,309.1604494155769,309.1604494155769,-4.219611184200039,-4.219611184200039,-4.219611184200039,-4.219611184200039,-4.219611184200039,-4.219611184200039,0.0,0.0,0.0,304.94083823137686
29,2022-02-25,308.8050848556175,265.36428415654274,342.3453522232892,308.8050848556175,308.8050848556175,-5.745592871258786,-5.745592871258786,-5.745592871258786,-5.745592871258786,-5.745592871258786,-5.745592871258786,0.0,0.0,0.0,303.0594919843587
30,2022-02-28,307.73899117573933,267.46185681405393,340.8383703422697,307.73899117573933,307.73899117573933,-1.3388239440606147,-1.3388239440606147,-1.3388239440606147,-1.3388239440606147,-1.3388239440606147,-1.3388239440606147,0.0,0.0,0.0,306.4001672316787
31,2022-03-01,307.3836266157799,266.6049336786165,338.2958240152882,307.3836266157799,307.3836266157799,-4.373080797681546,-4.373080797681546,-4.373080797681546,-4.373080797681546,-4.373080797681546,-4.373080797681546,0.0,0.0,0.0,303.01054581809836
32,2022-03-02,307.02826205582056,264.43389335960904,338.9846846912658,307.02826205582056,307.02826205582056,-3.5406784866228858,-3.5406784866228858,-3.5406784866228858,-3.5406784866228858,-3.5406784866228858,-3.5406784866228858,0.0,0.0,0.0,303.4875835691977
33,2022-03-03,306.6728974735814,265.8084527316085,339.8812137698173,306.6728974735814,306.6728974735814,-4.2196111841850925,-4.2196111841850925,-4.2196111841850925,-4.2196111841850925,-4.2196111841850925,-4.2196111841850925,0.0,0.0,0.0,302.45328628939626
34,2022-03-04,306.3175328913422,263.13601185759194,337.3773082119013,306.3175328913422,306.3175328913422,-5.7455928712541615,-5.7455928712541615,-5.7455928712541615,-5.7455928712541615,-5.7455928712541615,-5.7455928712541615,0.0,0.0,0.0,300.571940020088
35,2022-03-07,305.2514391446246,266.9545215120111,338.61930152263466,305.2514391446246,305.2514391446246,-1.3388239440592584,-1.3388239440592584,-1.3388239440592584,-1.3388239440592584,-1.3388239440592584,-1.3388239440592584,0.0,0.0,0.0,303.91261520056537
36,2022-03-08,304.8960745623855,262.06899459414933,336.82257742319274,304.8960745623855,304.8960745623855,-4.373080797677267,-4.373080797677267,-4.373080797677267,-4.373080797677267,-4.373080797677267,-4.373080797677267,0.0,0.0,0.0,300.5229937647082
37,2022-03-09,304.5407099801463,261.2865420573562,338.2672814073936,304.5407099801463,304.5407099801463,-3.5406784866245027,-3.5406784866245027,-3.5406784866245027,-3.5406784866245027,-3.5406784866245027,-3.5406784866245027,0.0,0.0,0.0,301.00003149352176
38,2022-03-10,304.1853453979071,263.7924109113596,338.54207874827193,304.1853453979071,304.1853453979071,-4.219611184187706,-4.219611184187706,-4.219611184187706,-4.219611184187706,-4.219611184187706,-4.219611184187706,0.0,0.0,0.0,299.9657342137194
39,2022-03-11,303.8299808156679,260.92400657058477,335.6237401136572,303.8299808156679,303.8299808156679,-5.745592871244039,-5.745592871244039,-5.745592871244039,-5.745592871244039,-5.745592871244039,-5.745592871244039,0.0,0.0,0.0,298.0843879444239
40,2022-03-14,302.7638870689504,261.5321657822117,339.1943123984549,302.7638870689504,302.7638870689504,-1.3388239440268,-1.3388239440268,-1.3388239440268,-1.3388239440268,-1.3388239440268,-1.3388239440268,0.0,0.0,0.0,301.4250631249236
41,2022-03-15,302.4085220928947,260.57816036898316,333.20623471319874,302.4085220928947,302.4085220928947,-4.373080797683619,-4.373080797683619,-4.373080797683619,-4.373080797683619,-4.373080797683619,-4.373080797683619,0.0,0.0,0.0,298.0354412952111
42,2022-03-16,302.05315711683903,262.7393814728812,333.8682915531489,302.05315711683903,302.05315711683903,-3.540678486626173,-3.540678486626173,-3.540678486626173,-3.540678486626173,-3.540678486626173,-3.540678486626173,0.0,0.0,0.0,298.51247863021285
43,2022-03-17,301.6977921407834,261.3790455079223,335.4129154453805,301.6977921407834,301.6977921407834,-4.2196111841903186,-4.2196111841903186,-4.2196111841903186,-4.2196111841903186,-4.2196111841903186,-4.2196111841903186,0.0,0.0,0.0,297.47818095659306
44,2022-03-18,301.3424271647278,258.5104327262887,330.2511874700954,301.3424271647278,301.3424271647278,-5.745592871239414,-5.745592871239414,-5.745592871239414,-5.745592871239414,-5.745592871239414,-5.745592871239414,0.0,0.0,0.0,295.59683429348837
45,2022-03-21,300.27633223656085,260.13351318140644,335.5655135124268,300.27633223656085,300.27633223656085,-1.338823944037299,-1.338823944037299,-1.338823944037299,-1.338823944037299,-1.338823944037299,-1.338823944037299,0.0,0.0,0.0,298.93750829252355
46,2022-03-22,299.92096726050517,258.64859802513206,332.41822934390325,299.92096726050517,299.92096726050517,-4.37308079766871,-4.37308079766871,-4.37308079766871,-4.37308079766871,-4.37308079766871,-4.37308079766871,0.0,0.0,0.0,295.54788646283646
47,2022-03-23,299.5656022844495,258.03781064353586,333.556431647162,299.5656022844495,299.5656022844495,-3.5406784866278462,-3.5406784866278462,-3.5406784866278462,-3.5406784866278462,-3.5406784866278462,-3.5406784866278462,0.0,0.0,0.0,296.02492379782166
48,2022-03-24,299.2102373083939,256.45396143926,329.30719143577414,299.2102373083939,299.2102373083939,-4.219611184195458,-4.219611184195458,-4.219611184195458,-4.219611184195458,-4.219611184195458,-4.219611184195458,0.0,0.0,0.0,294.99062612419846
